BLUE ALLIANCE API,Unnamed: 1,Unnamed: 2,Unnamed: 3,"A L L I A N C E   T O T A L S   ( A ) ,   T E A M   T O T A L S   ( T ) ,   A N D   C O N T R I B U T I O N   P E R C E N T A G E S   ( P )",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,D E F E N S E   F A C T O R S,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Name,Rank,Team,RP,avescoreA,avescoreT,avescoreP,aveampA,aveampT,aveampP,avespkrA,avespkrT,avespkrP,avetrapA,avetrapT,avetrapP,avenotesA,avenotesT,avenotesP,avestageA,avestageT,avestageP,aveAampT,aveAspkrT,aveAtrapT,aveTampT,aveTspkrT,aveTtrapT,D3Diff,D2Diff,D1Diff,D0Diff,A3Diff,A2Diff,A1Diff,A0Diff
rankings,3,frc3339,4320,68.25,39.8,0.5831501831501831,4.25,1,0.23529411764705882,16.25,11.25,0.6923076923076923,0.25,0,0,20.5,12.25,0.5975609756097561,4.25,1.25,0.29411764705882354,0,3.75,0,1,7.5,0,0,0,0,0,10.933333333333332,0,1.6000000000000014,-6.2666666666666675
rankings,4,frc1942,3888,62.25,24.75,0.39759036144578314,4.25,1.5,0.35294117647058826,14.75,8,0.5423728813559322,0.25,0,0,19,9.5,0.5,5,0.75,0.15,0,0.5,0,1.5,7.5,0,0,0,0,0,0,0,8.666666666666668,-4.333333333333334
rankings,12,frc6738,2736,43.333333333333336,27.333333333333332,0.6307692307692307,2,0,0,11.333333333333332,8,0.7058823529411765,0,0,0,13.333333333333334,8,0.6,3,2,0.6666666666666666,0,2.3333333333333335,0,0,5.666666666666667,0,0,0,0,0,0,0,0,0
rankings,1,frc1690,5328,84,41.628571428571426,0.495578231292517,6.666666666666667,4.666666666666667,0.7000000000000001,15,7.666666666666667,0.5111111111111112,0.3333333333333333,0,0,21.666666666666668,12.333333333333334,0.5692307692307692,9,3,0.3333333333333333,0,3,0,4.666666666666667,4.666666666666667,0,-15.042857142857141,0,0,7.5214285714285705,0,0,9.985714285714284,-4.992857142857142
rankings,6,frc5715,3168,51.666666666666664,20.38095238095238,0.3944700460829493,2.3333333333333335,0.3333333333333333,0.14285714285714285,12.333333333333332,5.666666666666667,0.45945945945945954,0,0,0,14.666666666666666,6,0.4090909090909091,4,1.6666666666666667,0.4166666666666667,0,1,0,0.3333333333333333,4.666666666666667,0,0,0,0,0,0,0,0,0
rankings,21,frc3316,2016,33.666666666666664,16.2,0.4811881188118812,1,0,0,9.333333333333334,5.333333333333333,0.5714285714285714,0.3333333333333333,0,0,10.333333333333334,5.333333333333333,0.5161290322580645,4.333333333333333,0.6666666666666666,0.15384615384615385,0,1,0,0,4.333333333333333,0,0,0,0,-5.921189464667501e-16,0,0,-4.300000000000001,8.6
rankings,8,frc1577,2880,66,30.125,0.4564393939393939,6.333333333333333,2.6666666666666665,0.42105263157894735,9,5,0.5555555555555556,0,0,0,15.333333333333334,7.666666666666667,0.5,4.666666666666667,1.6666666666666667,0.35714285714285715,1.3333333333333333,3.3333333333333335,0,1.3333333333333333,1.6666666666666667,0,0,0,-11.6875,5.84375,0,0,4.34375,-8.6875
rankings,10,frc5654,2736,42,17,0.40476190476190477,3.3333333333333335,0.6666666666666666,0.19999999999999998,8.333333333333334,5,0.6,0.3333333333333333,0,0,11.666666666666666,5.666666666666667,0.48571428571428577,6,2.3333333333333335,0.3888888888888889,0,0.6666666666666666,0,0.6666666666666666,4.333333333333333,0,0,0,0,0,0,0,0,0
rankings,28,frc2630,1440,34.333333333333336,18.833333333333332,0.5485436893203883,2,2,1,9.666666666666668,4.666666666666666,0.482758620689655,0,0,0,11.666666666666666,6.666666666666667,0.5714285714285715,2.3333333333333335,0.3333333333333333,0.14285714285714285,0,2,0,2,2.6666666666666665,0,0,9.25,0,-4.625,0,0,0,0
